# the reading for 3 rounds (include color, reflection, ambient)

DATA LOG STARTING - 3 ROUNDS
Format: Color | Refl | Amb | TurnRate | Notes
Color.BLUE   | 14   | 1    | 37   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 21   | 1    | 28   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 37   | 2    | 9    | [COLOR DETECTED!] 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 56   | 3    | -13  | 
Color.WHITE  | 91   | 3    | -55  | [CORNER] 
Color.WHITE  | 91   | 3    | -55  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 90   | 3    | -54  | [CORNER] 
Color.WHITE  | 91   | 3    | -55  | [CORNER] 
Color.WHITE  | 93   | 3    | -57  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 87   | 3    | -50  | [CORNER] 
Color.WHITE  | 89   | 4    | -52  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 89   | 2    | -52  | [CORNER] 
Color.WHITE  | 90   | 3    | -54  | [CORNER] 
Color.WHITE  | 92   | 3    | -56  | [CORNER] 
Color.WHITE  | 92   | 3    | -56  | [CORNER] 
Color.WHITE  | 94   | 3    | -58  | [CORNER] 
Color.WHITE  | 95   | 4    | -60  | [CORNER] 
Color.WHITE  | 92   | 3    | -56  | [CORNER] 
Color.WHITE  | 90   | 3    | -54  | [CORNER] 
Color.WHITE  | 92   | 4    | -56  | [CORNER] 
Color.WHITE  | 97   | 3    | -62  | [CORNER] 
Color.BLUE   | 12   | 1    | 39   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 9    | 0    | 43   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 8    | 1    | 44   | [CORNER] 
Color.BLUE   | 9    | 1    | 43   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 8    | 0    | 44   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 9    | 0    | 43   | [CORNER] 
Color.BLACK  | 12   | 0    | 39   | 
Color.BLUE   | 9    | 0    | 43   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 9    | 0    | 43   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 7    | 0    | 45   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 10   | 0    | 42   | [CORNER] 
Color.BLUE   | 9    | 0    | 43   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 10   | 0    | 42   | [CORNER] 
Color.BLACK  | 7    | 0    | 45   | [CORNER] 
Color.BLUE   | 12   | 0    | 39   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 26   | 1    | 22   | [COLOR DETECTED!] 
Color.WHITE  | 64   | 2    | -22  | 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 87   | 3    | -50  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 91   | 3    | -55  | [CORNER] 
Color.WHITE  | 90   | 3    | -54  | [CORNER] 
Color.WHITE  | 90   | 4    | -54  | [CORNER] 
Color.WHITE  | 83   | 3    | -45  | [CORNER] 
Color.BLUE   | 20   | 1    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.BLACK  | 10   | 0    | 42   | [CORNER] 
Color.GREEN  | 9    | 0    | 43   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 14   | 0    | 37   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 20   | 1    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 38   | 2    | 8    | [COLOR DETECTED!] 
Color.WHITE  | 53   | 2    | -9   | 
Color.WHITE  | 65   | 2    | -24  | 
Color.WHITE  | 70   | 3    | -30  | 
Color.WHITE  | 69   | 2    | -28  | 
Color.WHITE  | 49   | 2    | -4   | 
Color.BLUE   | 34   | 2    | 13   | [COLOR DETECTED!] 
Color.BLUE   | 32   | 2    | 15   | [COLOR DETECTED!] 
