light blue station: 
Color Code | Refl | Amb
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 12   | 1   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color Code | Refl | Amb
Color.BLACK  | 12   | -20 
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 3    | 0   
Color.BLACK  | 2    | 0   
Color.GREEN  | 1    | 0   
Color.BLACK  | 2    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 11   | 1   
Color.BLACK  | 5    | 0   
Color.BLACK  | 2    | 0   
Color.BLACK  | 1    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 4    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 13   | 1   
Color.BLACK  | 9    | 1   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 10   | 1   
Color.BLUE   | 10   | 1   
Color.BLUE   | 10   | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLUE   | 5    | 0   
Color.BLACK  | 12   | 1   
Color.BLUE   | 13   | 1   
Color.BLACK  | 13   | 0   
Color.BLACK  | 10   | 1   
Color.BLUE   | 7    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 9    | 0   
Color.BLUE   | 12   | 1   
Color.BLUE   | 13   | 0   
Color.BLUE   | 10   | 1   
Color.BLACK  | 9    | 1   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 4    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 9    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 14   | 1   
Color.BLACK  | 14   | 1   
Color.BLACK  | 14   | 0   
Color.BLACK  | 15   | 1   
Color.BLACK  | 15   | 1   
Color.BLACK  | 15   | 1   
Color.BLACK  | 14   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 14   | 1   
Color.BLACK  | 6    | 0   
Color.BLUE   | 10   | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 7    | 0   
Color.GREEN  | 5    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 9    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 14   | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 14   | 1   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 13   | 1   
Color.BLUE   | 12   | 1   
Color.GREEN  | 11   | 0   
Color.BLACK  | 12   | 1   
Color.GREEN  | 7    | 0   
Color.BLUE   | 12   | 1   
Color.BLUE   | 12   | 0   
Color.GREEN  | 6    | 0   
Color.GREEN  | 6    | 0   
Color.GREEN  | 6    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 9    | 0   
Color.BLUE   | 7    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 14   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 13   | 0   
Color.GREEN  | 10   | 0   
Color.GREEN  | 9    | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 9    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 12   | 0   
Color.GREEN  | 7    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 5    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 11   | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 9    | 1   
Color.BLACK  | 5    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 9    | 1   
Color.GREEN  | 7    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 9    | 0   
Color.BLUE   | 10   | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 8    | 0   
Color.BLUE   | 6    | 0   
Color.GREEN  | 7    | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 6    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLUE   | 5    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 9    | 0   
Color.BLUE   | 11   | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 8    | 0   
Color.BLACK  | 9    | 1   
Color.BLACK  | 10   | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 4    | 0   
Color.BLUE   | 6    | 1   
Color.BLUE   | 9    | 1   
Color.BLUE   | 8    | 0   
Color.BLUE   | 9    | 1   
Color.BLUE   | 12   | 0   
Color.BLUE   | 17   | 0   
Color.BLUE   | 12   | 1   
Color.BLUE   | 12   | 1   
Color.BLUE   | 13   | 0   
Color.BLUE   | 16   | 1   
Color.BLUE   | 17   | 1   
Color.BLUE   | 19   | 1   
Color.BLUE   | 23   | 1   
Color.BLUE   | 24   | 1   
Color.BLUE   | 23   | 1   
Color.BLUE   | 26   | 1   
Color.BLUE   | 23   | 1   
Color.BLUE   | 19   | 1   
Color.BLUE   | 17   | 1   
Color.BLUE   | 17   | 1   
Color.BLUE   | 18   | 1   
Color.BLUE   | 10   | 0   
Color.BLUE   | 9    | 1   
Color.BLUE   | 12   | 1   
Color.BLACK  | 10   | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 10   | 0   
Color.BLUE   | 8    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 6    | 0   
Color.BLUE   | 7    | 0   
Color.BLACK  | 6    | 1   
Color.BLUE   | 8    | 0   
Color.BLUE   | 5    | 0   
Color.BLUE   | 10   | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 8    | 0   
--- STOPPED ---
Color Code | Refl | Amb
Color.BLACK  | 15   | -4  
Color.GREEN  | 14   | 0   
Color.GREEN  | 6    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.GREEN  | 4    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 12   | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 9    | 0   
Color.GREEN  | 9    | 0   
Color.GREEN  | 10   | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 8    | 0   
Color.GREEN  | 10   | 1   
Color.BLACK  | 9    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 14   | 0   
Color.BLACK  | 13   | 1   
Color.BLACK  | 13   | 1   
Color.BLACK  | 3    | 0   
Color.BLACK  | 7    | 1   
Color.BLACK  | 6    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 7    | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 13   | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 3    | 0   
Color.BLACK  | 4    | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 3    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 0   
None         | 0    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 10   | 1   
Color.BLUE   | 9    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 9    | 0   
